Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,HST,AST,HomeOver2.5Perc,AvgLast5AwayGoalsScored,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5HomeGoalsConceded,AvgLast5AwayGoalsConceded,MaxC>2.5,B365C<2.5,AvgAHA,HS,Over2.5
2021-08-06,F1,20:00,Monaco,Nantes,D,D,2021/2022,-1.9773257190740663,-2.008874787029628,-0.7321097949418586,-1.2849744148906959,0.3716429934730792,-0.38496447637238085,-0.9168054457708407,-0.7089853920328887,-0.4102157822828585,-0.7255760279851626,-0.16569443424707092,-0.21158061162189742,0.8015825980468338,0.313877184356638,0
2021-08-07,F1,16:00,Lyon,Brest,D,A,2021/2022,-1.9773257190740663,-2.008874787029628,-0.3252443040219508,1.6222991923117458,0.3716429934730792,-0.38496447637238085,-0.4878294312018882,-0.7089853920328887,-0.4102157822828585,-0.7255760279851626,-1.3907599393221046,1.3854011771295396,0.13027903420277434,0.7075739968575072,0
2021-08-07,F1,20:00,Troyes,Paris SG,A,A,2021/2022,1.819361906677454,1.831977018894971,0.8953521687377725,-0.45432481283285536,-1.7820478520952925,1.0408835484344199,0.7990986125049694,-0.7089853920328887,1.1060201495266706,-0.7255760279851626,-0.8427043186306425,0.42721210387867703,0.4964446144813509,0.313877184356638,1
2021-08-08,F1,12:00,Rennes,Lens,D,D,2021/2022,-1.9773257190740663,-2.008874787029628,-1.1389752858617663,0.7916495902539054,-0.48983334475427,-0.38496447637238085,0.7990986125049694,-0.7089853920328887,-0.4102157822828585,-0.7255760279851626,0.608031147905581,-0.6374424219556138,-0.5410245296412838,-0.6703648468955351,0
2021-08-08,F1,14:00,Bordeaux,Clermont,A,D,2021/2022,-1.9773257190740663,-2.008874787029628,0.4884866778178647,2.4529487943695862,-0.48983334475427,1.0408835484344199,-0.9168054457708407,-2.020539057547181,1.1060201495266706,-2.0754593947912356,1.156086768597043,-0.9355456891892158,0.8626101947599288,-0.6703648468955351,0
2021-08-08,F1,14:00,Nice,Reims,D,D,2021/2022,-1.9773257190740663,-2.008874787029628,-1.1389752858617663,-1.7002992159196162,-0.059095175640595674,-1.8108125011791816,-1.3457814603397933,-2.020539057547181,-1.9264517140923876,-2.0754593947912356,1.4784724278273151,-1.0420111417726445,0.31336182434206333,-0.27666803439466586,0
2021-08-08,F1,14:00,St Etienne,Lorient,D,D,2021/2022,-1.9773257190740663,-2.008874787029628,-0.7321097949418586,-0.45432481283285536,1.2331193317004272,-0.38496447637238085,-0.058853416632935675,-0.7089853920328887,-0.4102157822828585,-0.7255760279851626,1.0916096367509887,-0.8077871460891006,-0.05280375593651461,1.298119215608811,0
2021-08-08,F1,14:00,Strasbourg,Angers,A,D,2021/2022,-1.9773257190740663,-2.008874787029628,-1.5458407767816742,-0.8696496138617756,-0.48983334475427,1.0408835484344199,-0.9168054457708407,-2.020539057547181,1.1060201495266706,-2.0754593947912356,1.0916096367509887,-0.8077871460891006,-0.2969141427888999,-1.2609100656468388,0
2021-08-08,F1,16:00,Metz,Lille,D,H,2021/2022,1.819361906677454,1.831977018894971,0.08162118689795696,1.2069743912828257,-0.48983334475427,2.4667315732412205,-0.058853416632935675,1.9141219389956965,2.6222560813361997,1.9741907056269838,2.5423451032872126,-1.2123558659061313,0.31336182434206333,-0.27666803439466586,1
2021-08-08,F1,19:45,Montpellier,Marseille,A,H,2021/2022,1.819361906677454,1.831977018894971,-1.5458407767816742,1.2069743912828257,-0.48983334475427,2.4667315732412205,-1.3457814603397933,0.602568273481404,2.6222560813361997,0.6243073388209106,-0.19793300017009813,-0.21158061162189742,0.37438942105515965,-1.0640616593964043,1
2021-08-13,F1,20:00,Lorient,Monaco,H,H,2021/2022,-1.9773257190740663,-2.008874787029628,-1.1389752858617663,-0.45432481283285536,-1.7820478520952925,-1.8108125011791816,-0.058853416632935675,-0.7089853920328887,-1.9264517140923876,-0.7255760279851626,0.44683831829044557,-0.6374424219556138,-0.11383135264961093,-2.245152096899012,0
2021-08-14,F1,20:00,Paris SG,Strasbourg,H,H,2021/2022,1.819361906677454,1.831977018894971,0.4884866778178647,-0.8696496138617756,1.2331193317004272,1.0408835484344199,-1.3457814603397933,3.225675604509989,1.1060201495266706,3.3240740724330573,-1.3262828074760502,1.108591000412624,0.06925143748967803,-0.47351644064510046,1
2021-08-14,F1,16:00,Lille,Nice,A,A,2021/2022,1.819361906677454,1.831977018894971,-1.1389752858617663,1.2069743912828257,-0.059095175640595674,3.8925795980480213,-0.4878294312018882,-2.020539057547181,4.138492013145728,-2.0754593947912356,1.059371070827962,-0.8077871460891006,0.6795274046206412,-0.47351644064510046,1
2021-08-15,F1,12:00,Angers,Lyon,H,H,2021/2022,1.819361906677454,1.831977018894971,0.4884866778178647,-0.45432481283285536,-0.48983334475427,-1.8108125011791816,-0.058853416632935675,1.9141219389956965,-1.9264517140923876,1.9741907056269838,-0.23017156609312536,0.0013502935449610388,0.8015825980468338,-0.07981962814423124,1
2021-08-15,F1,14:00,Brest,Rennes,D,D,2021/2022,-1.9773257190740663,-2.008874787029628,0.08162118689795696,-0.8696496138617756,-0.48983334475427,-0.38496447637238085,0.37012259793601743,-0.7089853920328887,-0.4102157822828585,-0.7255760279851626,0.44683831829044557,-0.6374424219556138,0.6795274046206412,-0.6703648468955351,0
2021-08-15,F1,14:00,Clermont,Troyes,H,D,2021/2022,-1.9773257190740663,-2.008874787029628,1.3022176596576802,-1.2849744148906959,0.3716429934730792,-1.8108125011791816,-0.4878294312018882,0.602568273481404,-1.9264517140923876,0.6243073388209106,0.41459975236741764,-0.42451151678875587,-0.6020521263543801,0.9044224031079419,0
2021-08-15,F1,14:00,Nantes,Metz,H,H,2021/2022,-1.9773257190740663,-2.008874787029628,0.8953521687377725,0.37632478922498513,-0.9205715138679442,-1.8108125011791816,-0.058853416632935675,0.602568273481404,-1.9264517140923876,0.6243073388209106,1.3495181641352063,-1.0420111417726445,-0.2969141427888999,-0.47351644064510046,0
2021-08-15,F1,14:00,Reims,Montpellier,D,A,2021/2022,1.819361906677454,1.831977018894971,1.709083150577588,0.37632478922498513,-0.48983334475427,2.4667315732412205,-0.4878294312018882,1.9141219389956965,2.6222560813361997,1.9741907056269838,0.5757925819825545,-0.42451151678875587,0.31336182434206333,1.1012708093583765,1
2021-08-15,F1,16:00,Lens,St Etienne,D,D,2021/2022,1.819361906677454,1.831977018894971,0.8953521687377725,1.2069743912828257,-0.059095175640595674,1.0408835484344199,-0.4878294312018882,0.602568273481404,1.1060201495266706,0.6243073388209106,0.28564548867530876,-0.42451151678875587,-0.6630797230674764,1.6918160281096803,1
2021-08-15,F1,19:45,Marseille,Bordeaux,D,H,2021/2022,1.819361906677454,1.831977018894971,-1.1389752858617663,-0.8696496138617756,-0.059095175640595674,1.0408835484344199,2.515002670780779,0.602568273481404,1.1060201495266706,0.6243073388209106,-0.10121730240101719,-0.21158061162189742,-0.11383135264961093,-0.6703648468955351,1
2021-08-20,F1,20:00,Brest,Paris SG,A,A,2021/2022,1.819361906677454,-0.08844888406732847,-0.7321097949418586,1.6222991923117458,-0.48983334475427,2.4667315732412205,0.7990986125049694,-0.05320855927574239,1.8641381154314351,-0.05063434458212599,-1.165089977860914,0.853073914212394,0.13027903420277434,-0.47351644064510046,1
2021-08-21,F1,16:00,Monaco,Lens,A,D,2021/2022,-1.9773257190740663,-2.008874787029628,-1.1389752858617663,-0.8696496138617756,0.3716429934730792,0.32795953603101946,0.7990986125049694,-1.364762224790035,0.347902183621906,-1.4005177113881992,0.12445265906017336,-0.42451151678875587,-0.35794173950199487,-0.8672132531459698,0
2021-08-21,F1,20:00,St Etienne,Lille,D,A,2021/2022,-0.07898190619830618,-2.008874787029628,-1.1389752858617663,0.7916495902539054,1.2331193317004272,1.0408835484344199,-0.058853416632935675,-0.7089853920328887,-0.4102157822828585,0.6243073388209106,1.0916096367509887,-0.9355456891892158,0.9236377914730265,-0.6703648468955351,0
2021-08-22,F1,14:00,Strasbourg,Troyes,D,A,2021/2022,-1.9773257190740663,-2.008874787029628,-0.3252443040219508,0.7916495902539054,-0.48983334475427,-1.0978884887757812,-0.4878294312018882,-1.364762224790035,0.347902183621906,-0.05063434458212599,0.41459975236741764,-0.46709769782212757,0.8626101947599288,0.11702877810620337,0
