Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Count,AST,Last5AwayOver2.5Perc,HST,Last5HomeOver2.5Count,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,B365C>2.5,AvgLast5HomeGoalsConceded,PC<2.5,B365CAHH,Over2.5
2021-08-13,D1,19:30,M'gladbach,Bayern Munich,D,D,2021/2022,-2.277189172608148,-2.088382658322545,2.412741150849484,-2.30303392469622,-0.11815508881731661,-2.092541610464942,0.683783579532611,1.647009993062497,-0.8533761166374618,-0.5147902967096412,-0.9762259658471202,-1.1581821551490201,-0.5623630955097232,1.2273698007290297,0.529278528534546,0
2021-08-14,D1,14:30,Augsburg,Hoffenheim,A,A,2021/2022,1.4867737539406498,-1.2976974856074204,1.580434649412728,1.5061763677565292,-1.936768981644673,-1.3004825362225747,-0.1360981763435693,1.197989385464802,-1.9749125439159234,3.275730665755633,-2.26032668162067,-0.2047934990139634,3.577540645100044,-0.12733346617517302,0.320004445795202,1
2021-08-14,D1,14:30,Bielefeld,Freiburg,D,D,2021/2022,-2.277189172608148,-2.088382658322545,0.7481281479759722,-2.30303392469622,-0.48187786738278787,-2.092541610464942,-1.77586168809593,-0.14907243732828435,-1.9749125439159234,-1.778297284198066,-2.26032668162067,2.426559191918792,-1.9423310090463122,-1.4222704124806615,-1.9820104643375804,0
2021-08-14,D1,14:30,Stuttgart,Greuther Furth,H,H,2021/2022,1.4867737539406498,-1.2976974856074204,-0.08417835346078376,1.5061763677565292,3.5190726968373958,-1.3004825362225747,0.27384270159452034,1.647009993062497,3.632769592476385,-0.5147902967096412,4.160176897247079,0.21469750968546106,-0.5623630955097232,-0.525775603499939,0.8431896526435622,1
2021-08-14,D1,14:30,Union Berlin,Leverkusen,D,D,2021/2022,-2.277189172608148,-2.088382658322545,-0.08417835346078376,-2.30303392469622,-0.11815508881731661,-2.092541610464942,-1.3659208101578402,0.7489687778671069,-0.8533761166374618,-0.5147902967096412,-0.9762259658471202,1.6638482670107477,-0.5623630955097232,-1.2031272369520403,-0.2031807610531582,0
2021-08-14,D1,14:30,Wolfsburg,Bochum,H,H,2021/2022,-2.277189172608148,-2.088382658322545,-1.3326381056159176,-2.30303392469622,1.3367360254445684,-2.092541610464942,-0.9559799322197501,-0.14907243732828435,-0.8533761166374618,-1.778297284198066,-0.9762259658471202,-0.2047934990139634,-1.9423310090463122,-0.18709978677388836,0.529278528534546,0
2021-08-14,D1,17:30,Dortmund,Ein Frankfurt,H,H,2021/2022,1.4867737539406498,-1.2976974856074204,-0.5003316041791617,1.5061763677565292,0.6092904683136259,-1.3004825362225747,1.913606213346881,-1.0471136525236762,3.632769592476385,0.7487166907787837,4.160176897247079,-1.1581821551490201,0.8176048180268659,1.6457340449200344,0.8431896526435622,1
2021-08-15,D1,14:30,Mainz,RB Leipzig,H,H,2021/2022,-2.277189172608148,-2.088382658322545,-0.9164848548975396,-2.30303392469622,-1.2093234245137303,-2.092541610464942,-0.5460390542816594,-1.9451548677190669,-0.8533761166374618,-1.778297284198066,-0.9762259658471202,-0.014115767786952753,-1.9423310090463122,-0.12733346617517302,0.11073036305585791,0
2021-08-15,D1,16:30,FC Koln,Hertha,H,D,2021/2022,1.4867737539406498,-1.2976974856074204,0.33197489725759416,1.5061763677565292,-0.11815508881731661,-1.3004825362225747,-0.5460390542816594,0.29994817026941073,1.3896967379194616,-0.5147902967096412,1.5919754656999796,1.2824928045567248,-0.5623630955097232,-1.023828275155896,1.1571007767525758,1
2021-08-20,D1,19:30,RB Leipzig,Stuttgart,H,H,2021/2022,1.4867737539406498,-1.2976974856074204,0.33197489725759416,1.5061763677565292,2.064181582575511,-1.3004825362225747,1.0937244574707006,-1.9451548677190669,2.511233165197923,-1.778297284198066,2.8760761814735294,-0.6242845077133887,-1.9423310090463122,0.5898623810094049,-0.9356400506408601,1
